Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
432ATX ,KW18,472.6,368.3,840.9,12.2,12.2,40100
4517 ,KW18,216.3,246.4,462.7,14.1,7.8,40100
484 ,KW18,685.9,263.2,949.1,67.5,-10.3,40100
576BTX ,KW18,19.0,0.0,19.0,0.0,0.0,40100
577BTX ,KW18,549.7,235.37,785.07,18.47,17.07,40100
585BTX ,KW18,200.0,461.3,661.3,0.0,0.0,40100
590BTX ,KW18,595.2,648.54,1243.74,26.24,21.74,40100
594BTX ,KW18,29.0,0.0,29.0,0.0,0.0,40100
6667 ,KW18,666.7,264.2,930.9,0.0,0.0,40100
700 ,KW18,247.2,238.67,485.87,5.57,5.57,40100
7846 ,KW18,461.5,125.92,587.42,19.42,9.82,40100
8036 ,KW18,329.0,275.0,604.0,0.0,0.0,40100
8464 ,KW18,512.1,404.65,916.75,9.65,6.65,40100
9046 ,KW18,827.4,328.0,1155.4,24.9,19.3,40100
9828 ,KW18,289.2,193.9,483.1,0.0,0.0,40100
9892 ,KW18,97.1,45.0,142.1,4.4,3.0,40100
